sample	sex	biosample	population	population_name	superpopulation	superpopulation_name
HG01683	male	SAME124653	IBS	Iberian	EUR	European Ancestry
HGDP00338	female	SAMEA3302795		Burusho		South Asia 
HG01958	female	SAME1839349	ACB	African Caribbean	AFR	African Ancestry
HG01695	female	SAME124845	IBS	Iberian	EUR	European Ancestry
HGDP01223	female	SAMEA3302743		Mongola		Central Asia and Siberia 
HG01960	female	SAME1839076	ACB	African Caribbean	AFR	African Ancestry
HG01979	male	SAME124331	PEL	Peruvian	AMR	American Ancestry
HGDP00530	male	SAMEA3302635		French		West Eurasia 
HG01965	female	SAME1839145	PEL	Peruvian	AMR	American Ancestry
HG01981	female	SAME125247	PEL	Peruvian	AMR	American Ancestry
KD4	male	SAMEA3302861		Khonda Dora		South Asia 
HG01972	female	SAME124329	PEL	Peruvian	AMR	American Ancestry
HG01986	male	SAME1840091	ACB	African Caribbean	AFR	African Ancestry
HGDP00124	male	SAMEA3302749		Hazara		South Asia 
HG01977	male	SAME124324	PEL	Peruvian	AMR	American Ancestry
HG01993	female	SAME124741	PEL	Peruvian	AMR	American Ancestry
NA13604	male	SAMEA3302745		Atayal		East Asia 
HG01984	male	SAME1840105	PEL	Peruvian	AMR	American Ancestry
HG01998	male	SAME124739	PEL	Peruvian	AMR	American Ancestry
HGDP01191	male	SAMEA3302846		Miao		East Asia 
HG01989	female	SAME1840166	ACB	African Caribbean	AFR	African Ancestry
HG01892	male	SAME123026	PEL	Peruvian	AMR	American Ancestry
HGDP00737	female	SAMEA3302897		Palestinian		West Eurasia 
HG01991	male	SAME124743	PEL	Peruvian	AMR	American Ancestry
HG01897	male	SAME1840343	ACB	African Caribbean	AFR	African Ancestry
HGDP01350	male	SAMEA3302909		Tu		East Asia 
HG02002	male	SAME123618	PEL	Peruvian	AMR	American Ancestry
HG01912	male	SAME1839779	ACB	African Caribbean	AFR	African Ancestry
Esk29	male	SAMEA3302660		Eskimo Chaplin		Central Asia and Siberia 
HG02014	male	SAME123448	ACB	African Caribbean	AFR	African Ancestry
HG01917	male	SAME123235	PEL	Peruvian	AMR	American Ancestry
Ayodo_430C	male	SAMEA3302868		Luo		Africa 
HG02019	female	SAME123450	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG01924	female	SAME123785	PEL	Peruvian	AMR	American Ancestry
HGDP00725	female	SAMEA3302646		Palestinian		West Eurasia 
HG02021	male	SAME125171	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG01866	male	SAME123195	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HGDP00706	female	SAMEA3302669		Piapoco		America 
HG02026	male	SAME125315	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG01873	male	SAME123400	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
Ale14	female	SAMEA3302889		Tlingit		Central Asia and Siberia 
HG01927	female	SAME123784	PEL	Peruvian	AMR	American Ancestry
HG01878	female	SAME123394	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
mixa0099	male	SAMEA3302618		Mixtec		America 
HG01934	male	SAME123589	PEL	Peruvian	AMR	American Ancestry
HG01880	female	SAME1839109	ACB	African Caribbean	AFR	African Ancestry
HGDP01401	female	SAMEA3302728		Adygei		West Eurasia 
HG01939	female	SAME123592	PEL	Peruvian	AMR	American Ancestry
HG01885	male	SAME122844	ACB	African Caribbean	AFR	African Ancestry
HGDP01095	male	SAMEA3302878		Tujia		East Asia 
HG01941	male	SAME124149	PEL	Peruvian	AMR	American Ancestry
HG01772	female	SAME124636	IBS	Iberian	EUR	European Ancestry
Nlk1	female	SAMEA3302715		Even		Central Asia and Siberia 
HG01946	male	SAME124154	PEL	Peruvian	AMR	American Ancestry
HG01777	male	SAME124631	IBS	Iberian	EUR	European Ancestry
HGDP00232	female	SAMEA3302639		Pathan		South Asia 
HG01864	male	SAME123197	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG01784	female	SAME124431	IBS	Iberian	EUR	European Ancestry
IraqiJew4291	male	SAMEA3302705		Iraqi Jew		West Eurasia 
HG01869	female	SAME123192	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG01789	male	SAME124433	GBR	British	EUR	European Ancestry
HG01871	female	SAME123398	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG01703	male	SAME123260	IBS	Iberian	EUR	European Ancestry
HG01883	female	SAME122848	ACB	African Caribbean	AFR	African Ancestry
HG01708	male	SAME123253	IBS	Iberian	EUR	European Ancestry
HG02064	male	SAME1839658	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG01710	female	SAME123084	IBS	Iberian	EUR	European Ancestry
HG02069	female	SAME123375	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG01746	female	SAME125180	IBS	Iberian	EUR	European Ancestry
HG02071	male	SAME123102	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG01765	male	SAME1839681	IBS	Iberian	EUR	European Ancestry
HG02076	male	SAME124913	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG00134	female	SAME123067	GBR	British	EUR	European Ancestry
HG01791	male	SAME124221	GBR	British	EUR	European Ancestry
HG02040	male	SAME1839803	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG00139	male	SAME123060	GBR	British	EUR	European Ancestry
HG01796	female	SAME124220	CDX	Dai Chinese	EAS	East Asian Ancestry
HG02052	female	SAME1839545	ACB	African Caribbean	AFR	African Ancestry
HG00141	male	SAME124395	GBR	British	EUR	European Ancestry
HG01804	female	SAME124302	CDX	Dai Chinese	EAS	East Asian Ancestry
HG02057	female	SAME124146	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG00146	female	SAME124390	GBR	British	EUR	European Ancestry
HG01809	female	SAME124299	CDX	Dai Chinese	EAS	East Asian Ancestry
HG01840	male	SAME123552	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG00153	female	SAME124594	GBR	British	EUR	European Ancestry
HG01811	male	SAME125380	CDX	Dai Chinese	EAS	East Asian Ancestry
HG01845	female	SAME123555	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG00158	female	SAME124585	GBR	British	EUR	European Ancestry
HG01950	male	SAME123977	PEL	Peruvian	AMR	American Ancestry
HG01852	male	SAME123750	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG00160	male	SAME124780	GBR	British	EUR	European Ancestry
HG01955	female	SAME123979	PEL	Peruvian	AMR	American Ancestry
HG01857	female	SAME123748	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG00177	female	SAME124957	FIN	Finnish	EUR	European Ancestry
HG01967	male	SAME124530	PEL	Peruvian	AMR	American Ancestry
HG02083	male	SAME124962	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG00189	male	SAME123640	FIN	Finnish	EUR	European Ancestry
HG01974	male	SAME124323	PEL	Peruvian	AMR	American Ancestry
HG02088	male	SAME124820	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG00235	female	SAME124122	GBR	British	EUR	European Ancestry
HG01936	female	SAME123591	PEL	Peruvian	AMR	American Ancestry
HG02090	male	SAME124651	PEL	Peruvian	AMR	American Ancestry
HG00242	male	SAME123223	GBR	British	EUR	European Ancestry
HG01943	male	SAME124151	PEL	Peruvian	AMR	American Ancestry
HG02095	female	SAME1839064	ACB	African Caribbean	AFR	African Ancestry
HG00247	female	SAME123220	GBR	British	EUR	European Ancestry
HG01948	female	SAME124144	PEL	Peruvian	AMR	American Ancestry
HG02108	female	SAME1840201	ACB	African Caribbean	AFR	African Ancestry
HG00254	female	SAME123050	GBR	British	EUR	European Ancestry
HG01816	male	SAME124521	CDX	Dai Chinese	EAS	East Asian Ancestry
HG02273	female	SAME1840309	PEL	Peruvian	AMR	American Ancestry
HG00259	female	SAME123056	GBR	British	EUR	European Ancestry
HG01842	male	SAME123554	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG02278	female	SAME1840367	PEL	Peruvian	AMR	American Ancestry
HG00261	female	SAME123583	GBR	British	EUR	European Ancestry
HG01847	female	SAME123557	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG02280	female	SAME1840096	ACB	African Caribbean	AFR	African Ancestry
HG00266	female	SAME123576	FIN	Finnish	EUR	European Ancestry
HG01859	female	SAME123535	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG02285	male	SAME122914	PEL	Peruvian	AMR	American Ancestry
HG00273	male	SAME123419	FIN	Finnish	EUR	European Ancestry
HG01861	male	SAME123200	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG02292	female	SAME1839943	PEL	Peruvian	AMR	American Ancestry
HG00278	male	SAME123425	FIN	Finnish	EUR	European Ancestry
HG02004	female	SAME123620	PEL	Peruvian	AMR	American Ancestry
HG02300	male	SAME1839856	PEL	Peruvian	AMR	American Ancestry
HG00379	female	SAME124746	FIN	Finnish	EUR	European Ancestry
HG02009	male	SAME123622	ACB	African Caribbean	AFR	African Ancestry
HG02122	male	SAME123478	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG00381	female	SAME123030	FIN	Finnish	EUR	European Ancestry
HG02011	male	SAME123443	ACB	African Caribbean	AFR	African Ancestry
HG02127	female	SAME123476	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG00406	male	SAME123156	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG02016	female	SAME123446	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG02134	male	SAME1839875	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG00418	male	SAME122992	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG02023	male	SAME125307	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG02139	female	SAME123660	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG00420	male	SAME122807	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG02028	female	SAME124020	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG02141	male	SAME124611	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG00437	female	SAME125261	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG02030	male	SAME1839966	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG02146	male	SAME1839613	PEL	Peruvian	AMR	American Ancestry
HG00444	male	SAME124190	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG02035	male	SAME1840035	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG02235	female	SAME123521	IBS	Iberian	EUR	European Ancestry
HG00449	female	SAME123885	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG02047	male	SAME1839772	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG02254	female	SAME1839344	PEL	Peruvian	AMR	American Ancestry
HG00451	male	SAME125159	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG02054	female	SAME1839538	ACB	African Caribbean	AFR	African Ancestry
HG02259	male	SAME1839319	PEL	Peruvian	AMR	American Ancestry
HG00463	male	SAME123496	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG02059	female	SAME1839596	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG02261	male	SAME1839134	PEL	Peruvian	AMR	American Ancestry
HG00475	male	SAME123342	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG02061	male	SAME1839676	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG02266	female	SAME1839110	PEL	Peruvian	AMR	American Ancestry
HG00280	male	SAME122831	FIN	Finnish	EUR	European Ancestry
HG02073	male	SAME123104	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG02343	male	SAME1839091	ACB	African Caribbean	AFR	African Ancestry
HG00285	female	SAME122836	FIN	Finnish	EUR	European Ancestry
HG02078	female	SAME123099	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG02348	female	SAME1839063	PEL	Peruvian	AMR	American Ancestry
HG00312	male	SAME124336	FIN	Finnish	EUR	European Ancestry
HG02080	female	SAME124825	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG02355	male	SAME1840269	CDX	Dai Chinese	EAS	East Asian Ancestry
HG00324	female	SAME123794	FIN	Finnish	EUR	European Ancestry
HG02275	female	SAME1840376	PEL	Peruvian	AMR	American Ancestry
HG02367	male	SAME1840113	CDX	Dai Chinese	EAS	East Asian Ancestry
HG00329	male	SAME123798	FIN	Finnish	EUR	European Ancestry
HG02282	female	SAME1840177	ACB	African Caribbean	AFR	African Ancestry
HG02374	male	SAME1840247	CDX	Dai Chinese	EAS	East Asian Ancestry
HG00331	female	SAME123986	FIN	Finnish	EUR	European Ancestry
HG02287	female	SAME123755	PEL	Peruvian	AMR	American Ancestry
HG02379	male	SAME1840217	CDX	Dai Chinese	EAS	East Asian Ancestry
HG00336	male	SAME123983	FIN	Finnish	EUR	European Ancestry
HG02299	male	SAME1839994	PEL	Peruvian	AMR	American Ancestry
HG02184	female	SAME123216	CDX	Dai Chinese	EAS	East Asian Ancestry
HG00343	female	SAME124923	FIN	Finnish	EUR	European Ancestry
HG02302	male	SAME124279	PEL	Peruvian	AMR	American Ancestry
HG02189	female	SAME125040	CDX	Dai Chinese	EAS	East Asian Ancestry
HG00350	female	SAME125121	FIN	Finnish	EUR	European Ancestry
HG02307	male	SAME1839535	ACB	African Caribbean	AFR	African Ancestry
HG02223	female	SAME1839584	IBS	Iberian	EUR	European Ancestry
HG00355	female	SAME125125	FIN	Finnish	EUR	European Ancestry
HG02314	male	SAME1839674	ACB	African Caribbean	AFR	African Ancestry
HG02230	female	SAME1839383	IBS	Iberian	EUR	European Ancestry
HG00362	female	SAME124537	FIN	Finnish	EUR	European Ancestry
HG02321	female	SAME1839446	ACB	African Caribbean	AFR	African Ancestry
HG02381	male	SAME1840033	CDX	Dai Chinese	EAS	East Asian Ancestry
HG00367	female	SAME124540	FIN	Finnish	EUR	European Ancestry
HG02181	female	SAME123206	CDX	Dai Chinese	EAS	East Asian Ancestry
HG02386	male	SAME1840001	CDX	Dai Chinese	EAS	East Asian Ancestry
HG00103	male	SAME125151	GBR	British	EUR	European Ancestry
HG02186	female	SAME125039	CDX	Dai Chinese	EAS	East Asian Ancestry
HG02398	male	SAME1839845	CDX	Dai Chinese	EAS	East Asian Ancestry
HG00108	male	SAME125161	GBR	British	EUR	European Ancestry
HG02218	female	SAME1839820	IBS	Iberian	EUR	European Ancestry
HG02401	male	SAME1839415	CDX	Dai Chinese	EAS	East Asian Ancestry
HG00110	female	SAME125339	GBR	British	EUR	European Ancestry
HG02220	female	SAME123715	IBS	Iberian	EUR	European Ancestry
HG02406	male	SAME1839394	CDX	Dai Chinese	EAS	East Asian Ancestry
HG00115	male	SAME125344	GBR	British	EUR	European Ancestry
HG02225	female	SAME1839576	IBS	Iberian	EUR	European Ancestry
HG02312	female	SAME1839684	PEL	Peruvian	AMR	American Ancestry
HG00122	female	SAME122876	GBR	British	EUR	European Ancestry
HG02148	female	SAME1839697	PEL	Peruvian	AMR	American Ancestry
HG02317	male	SAME1839656	ACB	African Caribbean	AFR	African Ancestry
HG00127	female	SAME122871	GBR	British	EUR	European Ancestry
HG02150	male	SAME1839407	PEL	Peruvian	AMR	American Ancestry
HG02153	female	SAME124791	CDX	Dai Chinese	EAS	East Asian Ancestry
HG02155	female	SAME124795	CDX	Dai Chinese	EAS	East Asian Ancestry
HG02165	female	SAME124208	CDX	Dai Chinese	EAS	East Asian Ancestry
HG02179	female	SAME124415	CDX	Dai Chinese	EAS	East Asian Ancestry
HG02603	male	SAME1840287	PJL	Punjabi	SAS	South Asian Ancestry
HG02129	male	SAME1839724	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG02610	male	SAME1840405	GWD	Gambian Mandinka	AFR	African Ancestry
HG02131	male	SAME1839896	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG02615	female	SAME1840380	GWD	Gambian Mandinka	AFR	African Ancestry
HG02136	female	SAME1839865	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG02622	female	SAME1840185	GWD	Gambian Mandinka	AFR	African Ancestry
HG02143	male	SAME1839628	ACB	African Caribbean	AFR	African Ancestry
HG02634	male	SAME1840031	GWD	Gambian Mandinka	AFR	African Ancestry
HG02232	female	SAME1839374	IBS	Iberian	EUR	European Ancestry
HG02646	female	SAME1839770	GWD	Gambian Mandinka	AFR	African Ancestry
HG02237	female	SAME123519	IBS	Iberian	EUR	European Ancestry
HG02653	female	SAME1839537	PJL	Punjabi	SAS	South Asian Ancestry
HG00502	male	SAME123361	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG02256	female	SAME1839332	ACB	African Caribbean	AFR	African Ancestry
HG02735	male	SAME1839866	PJL	Punjabi	SAS	South Asian Ancestry
HG00514	female	SAME123522	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG02345	female	SAME1839081	PEL	Peruvian	AMR	American Ancestry
HG02759	male	SAME1839445	GWD	Gambian Mandinka	AFR	African Ancestry
HG00526	male	SAME123395	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG02364	male	SAME1840125	CDX	Dai Chinese	EAS	East Asian Ancestry
HG02761	female	SAME1839262	GWD	Gambian Mandinka	AFR	African Ancestry
HG00533	male	SAME124353	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG02371	male	SAME1840180	CDX	Dai Chinese	EAS	East Asian Ancestry
HG02773	male	SAME1839034	GWD	Gambian Mandinka	AFR	African Ancestry
HG00538	male	SAME124343	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG02085	male	SAME124979	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG02778	female	SAME1839100	PJL	Punjabi	SAS	South Asian Ancestry
HG00552	male	SAME124253	PUR	Puerto Rican	AMR	American Ancestry
HG02105	female	SAME123873	PEL	Peruvian	AMR	American Ancestry
HG02780	male	SAME1839169	PJL	Punjabi	SAS	South Asian Ancestry
HG00557	female	SAME124258	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG02600	male	SAME1840302	PJL	Punjabi	SAS	South Asian Ancestry
HG02785	female	SAME1840298	PJL	Punjabi	SAS	South Asian Ancestry
HG00583	male	SAME124829	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG02605	female	SAME1840277	PJL	Punjabi	SAS	South Asian Ancestry
HG02691	female	SAME1839084	PJL	Punjabi	SAS	South Asian Ancestry
HG00590	female	SAME125009	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG02612	male	SAME1840394	GWD	Gambian Mandinka	AFR	African Ancestry
HG02696	male	SAME1839149	PJL	Punjabi	SAS	South Asian Ancestry
HG00639	female	SAME123650	PUR	Puerto Rican	AMR	American Ancestry
HG02624	female	SAME1840259	GWD	Gambian Mandinka	AFR	African Ancestry
HG02704	female	SAME1840134	GWD	Gambian Mandinka	AFR	African Ancestry
HG00641	female	SAME123435	PUR	Puerto Rican	AMR	American Ancestry
HG02629	female	SAME1840230	GWD	Gambian Mandinka	AFR	African Ancestry
HG02716	female	SAME1839981	GWD	Gambian Mandinka	AFR	African Ancestry
HG00653	male	SAME123251	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG02636	male	SAME1840017	GWD	Gambian Mandinka	AFR	African Ancestry
HG02723	female	SAME1839742	GWD	Gambian Mandinka	AFR	African Ancestry
HG00658	male	SAME123241	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG02643	female	SAME1839785	GWD	Gambian Mandinka	AFR	African Ancestry
HG02728	female	SAME1839722	PJL	Punjabi	SAS	South Asian Ancestry
HG00672	female	SAME123606	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG02648	male	SAME1839751	PJL	Punjabi	SAS	South Asian Ancestry
HG02557	male	SAME1840061	ACB	African Caribbean	AFR	African Ancestry
HG00684	female	SAME123890	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG02650	male	SAME1839550	PJL	Punjabi	SAS	South Asian Ancestry
HG02569	male	SAME1839892	GWD	Gambian Mandinka	AFR	African Ancestry
HG00689	male	SAME123893	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG02554	male	SAME1840075	ACB	African Caribbean	AFR	African Ancestry
HG02571	female	SAME1839577	GWD	Gambian Mandinka	AFR	African Ancestry
HG00691	male	SAME123161	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG02559	female	SAME1840052	ACB	African Caribbean	AFR	African Ancestry
HG02583	female	SAME1839429	GWD	Gambian Mandinka	AFR	African Ancestry
HG00704	male	SAME122928	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG02561	male	SAME1839838	GWD	Gambian Mandinka	AFR	African Ancestry
HG02588	male	SAME1839404	GWD	Gambian Mandinka	AFR	African Ancestry
HG00709	male	SAME125334	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG02573	male	SAME1839567	GWD	Gambian Mandinka	AFR	African Ancestry
HG02590	male	SAME1839222	GWD	Gambian Mandinka	AFR	African Ancestry
HG00716	male	SAME123112	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG02580	female	SAME1839366	ACB	African Caribbean	AFR	African Ancestry
HG02595	female	SAME1839204	GWD	Gambian Mandinka	AFR	African Ancestry
HG01029	female	SAME123523	CDX	Dai Chinese	EAS	East Asian Ancestry
HG02585	male	SAME1839418	GWD	Gambian Mandinka	AFR	African Ancestry
HG02792	male	SAME1840416	PJL	Punjabi	SAS	South Asian Ancestry
HG01031	male	SAME123728	CDX	Dai Chinese	EAS	East Asian Ancestry
HG02597	male	SAME1839199	PJL	Punjabi	SAS	South Asian Ancestry
HG02800	male	SAME1840000	GWD	Gambian Mandinka	AFR	African Ancestry
HG01048	male	SAME123169	PUR	Puerto Rican	AMR	American Ancestry
HG02655	female	SAME1839526	PJL	Punjabi	SAS	South Asian Ancestry
HG02805	female	SAME1840081	GWD	Gambian Mandinka	AFR	African Ancestry
HG01050	female	SAME123180	PUR	Puerto Rican	AMR	American Ancestry
HG02662	female	SAME1839662	PJL	Punjabi	SAS	South Asian Ancestry
HG02812	male	SAME1839846	GWD	Gambian Mandinka	AFR	African Ancestry
HG01055	female	SAME123638	PUR	Puerto Rican	AMR	American Ancestry
HG02667	female	SAME1839384	GWD	Gambian Mandinka	AFR	African Ancestry
HG02817	female	SAME1839819	GWD	Gambian Mandinka	AFR	African Ancestry
HG01062	female	SAME123014	PUR	Puerto Rican	AMR	American Ancestry
HG02679	female	SAME1839471	GWD	Gambian Mandinka	AFR	African Ancestry
HG02836	male	SAME1839428	GWD	Gambian Mandinka	AFR	African Ancestry
HG01067	female	SAME122997	PUR	Puerto Rican	AMR	American Ancestry
HG02681	male	SAME1839304	PJL	Punjabi	SAS	South Asian Ancestry
HG02420	male	SAME1839320	ACB	African Caribbean	AFR	African Ancestry
HG01074	male	SAME124070	PUR	Puerto Rican	AMR	American Ancestry
HG02686	male	SAME1839277	PJL	Punjabi	SAS	South Asian Ancestry
HG02425	female	SAME1839043	PEL	Peruvian	AMR	American Ancestry
HG01079	male	SAME123013	PUR	Puerto Rican	AMR	American Ancestry
HG02465	female	SAME1839973	GWD	Gambian Mandinka	AFR	African Ancestry
HG02449	male	SAME1840404	ACB	African Caribbean	AFR	African Ancestry
HG01081	female	SAME125395	PUR	Puerto Rican	AMR	American Ancestry
HG02477	female	SAME1839710	ACB	African Caribbean	AFR	African Ancestry
HG02451	female	SAME1840138	ACB	African Caribbean	AFR	African Ancestry
HG01086	female	SAME125394	PUR	Puerto Rican	AMR	American Ancestry
HG02484	male	SAME1839858	ACB	African Caribbean	AFR	African Ancestry
HG02463	male	SAME1839983	GWD	Gambian Mandinka	AFR	African Ancestry
HG00728	male	SAME1840267	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG02489	male	SAME1839546	ACB	African Caribbean	AFR	African Ancestry
HG02658	female	SAME1839597	PJL	Punjabi	SAS	South Asian Ancestry
HG00730	female	SAME1840412	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG02491	female	SAME1839617	PJL	Punjabi	SAS	South Asian Ancestry
HG02660	male	SAME1839672	PJL	Punjabi	SAS	South Asian Ancestry
HG00735	female	SAME123042	PUR	Puerto Rican	AMR	American Ancestry
HG02737	female	SAME1839857	PJL	Punjabi	SAS	South Asian Ancestry
HG02677	female	SAME1839483	GWD	Gambian Mandinka	AFR	African Ancestry
HG00742	male	SAME1840188	PUR	Puerto Rican	AMR	American Ancestry
HG02756	male	SAME1839454	GWD	Gambian Mandinka	AFR	African Ancestry
HG02684	male	SAME1839292	PJL	Punjabi	SAS	South Asian Ancestry
HG00759	female	SAME125020	CDX	Dai Chinese	EAS	East Asian Ancestry
HG02763	female	SAME1839254	GWD	Gambian Mandinka	AFR	African Ancestry
HG02689	male	SAME1839355	PJL	Punjabi	SAS	South Asian Ancestry
HG00766	female	SAME124458	CDX	Dai Chinese	EAS	East Asian Ancestry
HG02768	male	SAME1839235	GWD	Gambian Mandinka	AFR	African Ancestry
HG02502	female	SAME1839272	ACB	African Caribbean	AFR	African Ancestry
HG00867	female	SAME123550	CDX	Dai Chinese	EAS	East Asian Ancestry
HG02770	female	SAME1839049	GWD	Gambian Mandinka	AFR	African Ancestry
HG02514	male	SAME1839133	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG00879	female	SAME123399	CDX	Dai Chinese	EAS	East Asian Ancestry
HG02775	female	SAME1839022	PJL	Punjabi	SAS	South Asian Ancestry
HG02521	male	SAME1840327	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG00881	male	SAME123540	CDX	Dai Chinese	EAS	East Asian Ancestry
HG02408	male	SAME1839461	CDX	Dai Chinese	EAS	East Asian Ancestry
HG02526	female	SAME1840308	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG00956	female	SAME124319	CDX	Dai Chinese	EAS	East Asian Ancestry
HG02410	male	SAME1839207	CDX	Dai Chinese	EAS	East Asian Ancestry
HG02545	male	SAME1839939	ACB	African Caribbean	AFR	African Ancestry
HG00982	male	SAME123770	CDX	Dai Chinese	EAS	East Asian Ancestry
HG02415	female	SAME1839263	PEL	Peruvian	AMR	American Ancestry
HG02470	male	SAME1839744	ACB	African Caribbean	AFR	African Ancestry
HG01322	male	SAME1839539	PUR	Puerto Rican	AMR	American Ancestry
HG02427	female	SAME1839036	ACB	African Caribbean	AFR	African Ancestry
HG02494	female	SAME1839698	PJL	Punjabi	SAS	South Asia 
HG01327	male	SAME1839599	PUR	Puerto Rican	AMR	American Ancestry
HG02439	male	SAME1840297	ACB	African Caribbean	AFR	African Ancestry
HG02855	female	SAME1839330	GWD	Gambian Mandinka	AFR	African Ancestry
HG01334	male	SAME123533	GBR	British	EUR	European Ancestry
HG02496	male	SAME1839688	ACB	African Caribbean	AFR	African Ancestry
HG02862	female	SAME1839123	GWD	Gambian Mandinka	AFR	African Ancestry
HG01341	male	SAME124859	CLM	Colombian	AMR	American Ancestry
HG02511	female	SAME1839150	ACB	African Caribbean	AFR	African Ancestry
HG02879	female	SAME1840355	GWD	Gambian Mandinka	AFR	African Ancestry
HG01346	female	SAME124860	CLM	Colombian	AMR	American Ancestry
HG02523	female	SAME1840322	KHV	Kinh Vietnamese	EAS	East Asian Ancestry
HG02881	male	SAME1840178	GWD	Gambian Mandinka	AFR	African Ancestry
HG01353	male	SAME124685	CLM	Colombian	AMR	American Ancestry
HG02547	male	SAME1839930	ACB	African Caribbean	AFR	African Ancestry
HG02886	female	SAME1840151	GWD	Gambian Mandinka	AFR	African Ancestry
HG01358	male	SAME124688	CLM	Colombian	AMR	American Ancestry
HG02383	male	SAME1840019	CDX	Dai Chinese	EAS	East Asian Ancestry
HG02944	male	SAME1839082	ESN	Esan	AFR	African Ancestry
HG01360	female	SAME122855	CLM	Colombian	AMR	American Ancestry
HG02388	male	SAME1839997	CDX	Dai Chinese	EAS	East Asian Ancestry
HG02982	male	SAME1840015	GWD	Gambian Mandinka	AFR	African Ancestry
